Exporters	Imported value in 2022-M09	Imported value in 2022-M10	Imported value in 2022-M11	Imported value in 2022-M12	Imported value in 2023-M01	Imported value in 2023-M02	Imported value in 2023-M03	Imported value in 2023-M04	Imported value in 2023-M05	Imported value in 2023-M06	Imported value in 2023-M07	Imported value in 2023-M08	Imported value in 2023-M09	Imported value in 2023-M10	Imported value in 2023-M11	Imported value in 2023-M12	Imported value in 2024-M01	Imported value in 2024-M02	Imported value in 2024-M03	Imported value in 2024-M04	
"Spain"	1806302	2124966	2101062	1691941	1950288	1665040	2062221	2180231	2248916	2127085	2259040	2020306	1710196	2065973	1865688	1929014	1781640	1633943	2030676	1980915	
"Sri Lanka"	346294	321863	261076	251059	343202	219809	258772	248797	239662	229241	258330	262330	243974	246493	207904	217587	270720	224963	277008	258354	
"Sudan"	4424	1721	1497	714	632	1764	966	2077	693	112	52	336	4006	2799	26	346	26	4	553	2589	
"Suriname"	4742	6056	6951	6806	7419	8366	6842	5167	6127	6332	7344	9211	7945	6496	5608	4972	6112	4227	5675	6027	
"Sweden"	1167442	1725801	1541912	1563518	1550359	1444791	1770547	1639067	1675310	1760067	1463798	1176723	1591279	1712331	1430107	1645772	1519392	1461571	1813228	1671954	
"Switzerland"	4742580	5064135	4413436	3989985	4716945	4135987	4615191	5877311	5811665	4216159	3533460	3947479	4053621	4471043	3899094	3622134	4271767	3211452	3728437	4434121	
"Syrian Arab Republic"	1017	662	1157	896	902	748	616	599	700	952	1135	582	1147	1300	2383	688	1970	914	263	465	
"Taipei, Chinese"	7844340	8110661	7998498	7338226	6880214	6779874	6999574	6620446	7728703	6940847	7509075	8493430	8183834	8867243	8043196	6872437	8343598	6961992	8119444	9302845	
"Tajikistan"	62	396	32	10	152	27	15	2	117	6	17	10	34	186	114	350	287	36	60	38	
"Tanzania, United Republic of"	17228	11988	16444	19357	25405	16289	18365	16183	28471	14911	14938	10294	12396	10755	16777	13192	20300	18217	17389	27552	
"Thailand"	5494001	6095523	4901641	4394176	5167482	4040011	5061297	4914217	4970533	4914615	4816247	4876812	4830679	5425181	4951272	4716593	4984767	4550931	5274151	5480231	
"Timor-Leste"	764	652	46	372	1565	494	520	158	26	3	57	163	473	396	78	1106	454	226	262	1382	
"Togo"	6618	9901	8642	16999	2777	2779	7529	5475	13804	5338	5015	6990	9648	7950	14482	9021	11489	8370	10624	6903	
"Tokelau"	18	14	16	18	22	28	1124	18	33	152	30	8	12	15	8	9	7	11	28	10	
"Tonga"	315	445	320	774	245	411	416	134	325	190	195	140	334	306	131	168	141	83	325	210	
"Trinidad and Tobago"	523038	305381	428143	461818	394166	327250	265160	298146	262091	338069	244956	282860	254208	225228	154072	283899	256547	337735	329756	306212	
"Tunisia"	52172	62267	59010	62627	56338	61945	121808	62060	58091	76553	97058	72838	78703	84143	62910	59470	110233	93575	94074	102430	
"Türkiye"	1565778	1773143	1714917	1571203	1496545	1238541	1370732	1241814	1478960	1383947	1489492	1362016	1392379	1443433	1348525	1274436	1472130	1323519	1500870	1549456	
"Turkmenistan"	697	730	151	27	329	291	20	30	186	20	181	186	32	55	46	433	18	158	45	10487	
"Turks and Caicos Islands"	1351	616	1388	520	795	663	1777	1115	974	1873	1132	770	1670	684	625	819	988	501	877	771	
"Tuvalu"	39	106	25	75	106	81	107	54	308	0	72	55	40	29	53	1	12	22	5	29	
"Uganda"	9254	8357	8892	12530	16733	10678	13989	13764	11079	7349	12409	7111	7783	6032	6271	7501	7020	6516	12323	7098	
"Ukraine"	109421	134011	204399	108489	103101	143434	138496	165967	148739	141423	122686	70838	68729	58203	83128	97145	137960	68718	112107	91943	
"United Arab Emirates"	758939	629065	454819	461825	513960	423691	806280	577820	721413	496656	426015	516644	609462	710350	598284	471704	492473	434151	563822	603545	
"United Kingdom"	5610784	6140446	5878666	6146279	4636069	5371543	5634381	5544404	5651705	5788414	5220850	5323373	5165027	5912976	5516241	5722133	5250278	5318274	5862732	5781347	
"Uruguay"	77556	77642	98581	81019	68774	52211	87439	84149	68966	107637	54385	95249	79887	87491	66608	61921	116629	80359	81712	105095	
"Uzbekistan"	1831	1276	3049	5017	1289	2346	1229	22122	9574	7899	14247	1733	3290	2518	1465	29076	1462	3257	1333	2218	
"Vanuatu"	974	975	107	853	529	267	423	232	663	157	456	2154	342	241	387	667	170	776	1679	492	
"Venezuela, Bolivarian Republic of"	39126	36183	30787	36667	125186	145679	304355	284763	373771	270998	350651	370797	385778	415367	408587	388400	346814	326830	407986	522305	
"Viet Nam"	12301949	11686819	9891722	8980004	9651071	8652121	8534751	8935878	9562352	9607375	10429282	10589165	11034790	11237004	10679969	10027169	9934350	10011516	10380913	10440036	
"Wallis and Futuna Islands"	22	82	6	0	1	7	1	0	1	0	0	0	16	4	29	0	0	11	0	0	
"Yemen"	737	603	133	107	1057	223	678	825	878	673	534	381	268	838	186	691	515	136	473	686	
"Zambia"	7131	13050	13836	12707	20967	3089	11847	2241	35441	8942	19645	6299	19261	6950	12723	9779	24117	4907	18780	15801	
"Zimbabwe"	13423	14491	13771	2649	4598	17057	14053	4488	26892	2885	1862	2589	13031	16047	5751	10440	6467	3204	2454	8652	
