Exporters	Imported value in 2022-M09	Imported value in 2022-M10	Imported value in 2022-M11	Imported value in 2022-M12	Imported value in 2023-M01	Imported value in 2023-M02	Imported value in 2023-M03	Imported value in 2023-M04	Imported value in 2023-M05	Imported value in 2023-M06	Imported value in 2023-M07	Imported value in 2023-M08	Imported value in 2023-M09	Imported value in 2023-M10	Imported value in 2023-M11	Imported value in 2023-M12	Imported value in 2024-M01	Imported value in 2024-M02	Imported value in 2024-M03	Imported value in 2024-M04	
"Korea, Republic of"	10484679	10155514	10313950	10185554	9196519	8634179	9915396	10149602	10012370	10669548	9809969	10113456	10383378	10668703	9502236	10669703	11266552	9893046	11930826	11951081	
"Kuwait"	52949	278237	239528	220536	128425	203455	95679	54114	142351	208079	158689	172052	169190	59696	102268	286809	71081	90228	76580	146376	
"Kyrgyzstan"	502	388	533	656	231	2127	1738	563	1493	358	671	336	1377	1025	1813	1176	948	359	653	1316	
"Lao People's Democratic Republic"	24327	25133	18494	26945	29796	24020	30647	28973	26478	25149	29314	23632	30713	23683	18130	24178	28368	26023	27733	29081	
"Latvia"	69543	70869	63994	52598	71021	46721	57712	56017	59753	51249	61360	56435	51396	48302	51100	52135	68668	49255	70015	62101	
"Lebanon"	18672	30650	17648	20455	15023	10831	20281	16338	18191	15966	15296	20143	14431	27104	15793	15763	31566	15851	15655	16953	
"Lesotho"	34429	25673	20617	52044	13935	14500	17032	30739	20818	20526	14063	21167	20050	34513	11828	12158	13633	30349	12553	23149	
"Liberia"	7432	7259	5569	6476	3611	5691	7799	5305	5801	7613	5063	7101	4517	7519	2807	3965	4369	2392	7781	5884	
"Libya, State of"	258150	218099	57935	198765	179208	811	60417	139737	96913	107379	54117	166702	146875	203651	174665	238089	67549	83683	172740	135200	
"Lithuania"	204556	261853	263188	237394	208196	114653	209622	190813	221603	194193	147264	303679	153956	194563	148921	123020	132163	182245	178980	160363	
"Luxembourg"	68616	58269	61883	68030	73146	50895	52476	67501	74342	46384	62450	77589	37764	74781	49436	51517	51428	58234	42296	74977	
"Macao, China"	19359	14566	12832	12498	9952	5448	9654	7429	10596	15074	11318	17096	16053	12170	13755	9650	11352	9208	7714	10042	
"Macedonia, North"	7456	11504	11625	16858	27470	27652	25353	15730	24764	17550	20720	30047	20806	25661	23888	31270	27554	16881	16539	10803	
"Madagascar"	60881	60541	68580	55639	67998	52410	72908	69402	95410	51799	62709	46793	80205	59492	46698	31616	61261	62042	62449	57578	
"Malawi"	6097	10417	3850	4808	8958	3722	6196	2497	3624	2915	3758	2208	7673	2302	1109	2220	5741	3891	2114	2729	
"Malaysia"	5182901	5020264	4551345	4157299	4068270	3710332	4555550	3578920	3877610	4025864	3945602	3690278	3841453	4150733	3699196	4184518	3655207	3641202	4226285	4169193	
"Maldives"	1197	1861	2183	2889	2267	2851	3050	630	672	756	582	705	860	694	373	624	1718	287	750	385	
"Mali"	79	484	293	279	677	749	220	593	765	170	960	92	522	342	428	2390	129	692	342	747	
"Malta"	19275	22885	27470	34032	40923	18163	15328	17513	20795	26876	17223	16984	13335	16533	13706	11936	15583	14157	10749	10238	
"Marshall Islands"	1983	2150	1019	1410	1493	415	278	1140	1417	1867	2012	2863	2062	2019	1686	1819	1792	1674	1621	1977	
"Mauritania"	535	640	131	438	296	1151	724	658	375	408	1134	603	81	87	110	8624	115	127	871	184	
"Mauritius"	26875	25316	24811	21873	24716	21206	21738	21859	25907	21808	20846	29860	35050	18868	22643	34859	17803	21507	15351	13946	
"Mexico"	39855061	40750021	37144189	36423915	37364456	36036585	43257248	38459413	41786894	41496460	39263042	42120848	39888253	43279782	40156282	36971161	38402769	40616693	41939401	43446561	
"Micronesia, Federated States of"	179	178	47	205	135	146	293	84	473	33	259	102	43	141	37	201	31	110	95	38	
"Moldova, Republic of"	8398	9567	8717	9363	16342	8436	12033	11173	9929	7678	9038	7037	7086	8348	7799	10271	13043	9064	13804	12851	
"Mongolia"	2464	3926	2980	1706	2497	769	1712	2616	1923	3942	1019	2199	2442	5889	3102	3027	2421	3932	3405	1315	
"Montenegro"	382	699	559	365	413	504	381	390	529	2013	3858	682	2845	1617	2579	1481	2626	1330	690	679	
"Montserrat"	256	73	93	149	42	100	37	134	248	65	68	320	60	266	102	163	1224	180	2050	67	
"Morocco"	183342	142647	157591	123483	172864	154282	169927	162958	127850	134394	115030	147405	150996	171738	136880	127501	155855	161623	166460	170178	
"Mozambique"	7504	21094	14209	11003	19637	12197	24398	16132	24591	17087	34046	8050	21713	9713	21281	5443	31256	3306	23956	11983	
"Myanmar"	100043	112581	95000	71974	93205	65078	74663	69407	65675	58495	73415	90896	85248	82529	76677	66288	50309	48513	51573	45951	
"Namibia"	11406	19647	23793	12476	9500	12140	14478	12705	15044	12397	5188	13197	9069	12946	10364	8239	5546	9239	17128	14797	
"Nauru"	247	78	349	128	83	14	316	3	172	68	92	11	51	132	145	99	124	374	418	379	
