Exporters	Imported value in 2024-M05	Imported value in 2024-M06	Imported value in 2024-M07	Imported value in 2024-M08	Imported value in 2024-M09	Imported value in 2024-M10	Imported value in 2024-M11	Imported value in 2024-M12	Imported value in 2025-M01	Imported value in 2025-M02	Imported value in 2025-M03	Imported value in 2025-M04	Imported value in 2025-M05	Imported value in 2025-M06	Imported value in 2025-M07	Imported value in 2025-M08	Imported value in 2025-M09	Imported value in 2025-M10	Imported value in 2025-M11	Imported value in 2025-M12	
"World"	282863932	272909702	296080318	285712848	294424772	296997699	281941329	292527578	325297864	295416903	350608264	283738547	283855892	272741399	300543536	270489922	283012744	281515991	269360686	289987970	
"Mexico"	44258592	42582261	42251066	44057126	44467547	45839906	42583294	39541107	42012508	41973251	48351801	42198048	46698111	45205223	45708056	45482636	44914461	48877212	44850727	42698877	
"Canada"	36494489	35142381	36584447	33776731	35375612	35231779	34135234	36245172	39217736	35789541	36565615	30245661	30970046	30461018	32997887	30178166	32764048	31942571	29113778	32745421	
"Taipei, Chinese"	9179365	10074025	13225900	12006923	10806599	10921141	9471810	10316813	11300079	10804579	12629281	14842665	16675887	17223246	19954180	18270024	15229714	22561949	20460036	25081571	
"China"	36887740	36017585	43141353	42178138	45402184	43657786	39781982	39568278	43845177	33472053	31158640	26983708	21792907	20177321	28244431	26792886	24875502	25381714	22277970	22489914	
"Viet Nam"	11779194	11938064	12553797	12436149	14646894	13428230	12654248	12272595	13540071	12419765	15335667	15432791	16581582	18374981	18674543	17104128	18303825	18438977	17802835	19248142	
"Germany"	14108527	13232342	14619805	13745119	13326116	13019226	13126076	13964154	13880314	12901849	15925960	13438199	13563883	11337907	13106753	11406322	11998737	12335046	13736717	15543074	
"Japan"	12606124	11947807	13554569	11973046	11893197	14356780	12422309	12776092	13111941	11388388	13804868	13908995	12344369	12294756	12820690	12328496	10858149	12310295	12140484	12499440	
"Korea, Republic of"	12629843	11732976	11570929	10792687	11464926	10444126	10444887	11339473	10993295	9290673	12501493	10156341	11815306	11707151	11477466	10471082	10058573	9382865	9011719	12183170	
"Thailand"	5284466	5331818	5707128	5342526	6261905	6453362	5423368	5916607	5860453	4989128	7326071	7209650	7009300	7878814	8401681	7752988	8762236	9501002	9299583	10453449	
