Exporters	Imported value in 2024-M05	Imported value in 2024-M06	Imported value in 2024-M07	Imported value in 2024-M08	Imported value in 2024-M09	Imported value in 2024-M10	Imported value in 2024-M11	Imported value in 2024-M12	Imported value in 2025-M01	Imported value in 2025-M02	Imported value in 2025-M03	Imported value in 2025-M04	Imported value in 2025-M05	Imported value in 2025-M06	Imported value in 2025-M07	Imported value in 2025-M08	Imported value in 2025-M09	Imported value in 2025-M10	Imported value in 2025-M11	Imported value in 2025-M12	
"India"	8705732	7442718	7317138	6669824	7347907	8491831	7234169	7602706	8463693	8627125	11554990	10372049	9760825	9472270	9512235	8216599	7751460	7706461	7497014	8661114	
"France"	5012623	4748721	5561208	4862375	4761251	5041121	5825972	4971589	5075127	4792946	7906306	6651947	5253291	4913012	5693233	4747550	4751782	6091758	6930144	6492467	
"Italy"	7222908	6542181	6946283	6640056	5378613	6516256	6708781	6644796	6267161	6428769	7415281	6675621	6545852	6296327	7408609	5501567	5333324	5835512	6488747	6230182	
"Malaysia"	4414524	4171609	4588234	4583457	5192231	5316889	4900059	4990564	4769930	4434064	5763662	4850502	5155949	5407707	5245187	4533505	5034794	4946883	5158096	5888371	
"United Kingdom"	5696101	5807989	5826239	5952089	5551541	6066485	6111568	6044818	6129655	5577553	7152877	4976845	4876214	5307504	5691401	5303617	5218412	5134300	4928976	5688741	
"Switzerland"	4244271	4513693	5123357	4090162	4594201	5871287	5776862	14267709	23863148	19999354	18621590	6230929	3353977	4112111	10654364	3371955	4183117	3890770	3527096	4776789	
"Ireland"	7349737	7302351	8094381	9507059	10767261	10344988	10701294	7509107	13668970	15304724	30761038	10907122	13439633	6690429	4325201	5206731	19968889	4992440	4772681	3856036	
"Brazil"	3874684	3511359	3702248	4102092	3530106	3458302	4123110	3932796	3932858	3479946	4067514	3313649	4414313	3736927	4191400	3196674	3012535	2858961	2292357	3099396	
"Indonesia"	2295451	2094851	2389699	2429251	2826981	2939780	2625180	2600071	2777744	2443535	3115570	3289118	2991259	3283463	3333717	2971382	3218767	3040152	3047279	2991221	
"Netherlands"	2948534	2948369	2943141	2758656	3610627	3128158	2751132	2559428	3116084	2684860	4125976	3426877	3842694	2526315	3208773	3032264	1856239	2502534	2603038	2850950	
"Australia"	1207195	1183361	1487404	1401246	1493979	1624314	1389700	2377786	4612384	3832775	3921021	1744495	1442404	1413504	3270010	1306797	2316108	1914222	1362884	2449920	
"Singapore"	3552592	4330423	4956736	3225159	2914429	3265245	3418951	3610960	4395406	3899953	2974351	3609643	3165150	3001803	3423648	2335639	2743553	2233379	4258571	2381114	
"Spain"	1987887	1985867	2068050	1934223	1596333	1662067	1701620	1727630	1774058	1714881	2543822	2190962	1616519	2063303	1893006	1677605	1540498	1712303	1484592	1913138	
"Israel"	2053370	1885292	1720211	1944178	2132580	1673708	1795305	2064270	1957803	1706079	2319092	1921995	1362865	1283275	1668284	1700388	1543299	1883376	1594706	1861941	
"Belgium"	2531324	2376019	2230734	3112650	2582043	2247271	2214103	2197342	1986870	1728603	3440100	2250959	2529845	2664037	2147924	2738251	2038080	2426726	1872352	1845468	
"Colombia"	1604183	1500571	1548540	1525172	1578345	1563689	1570327	1536092	1674687	1431452	1568572	1906928	1588274	1382172	1559872	1512354	1444960	1342537	1360068	1812680	
"Chile"	1452205	1210726	1548516	1782424	1759718	1289011	1191790	1458742	1512364	1496829	1944035	2557811	1943973	1719282	1940949	1345805	1272719	1490678	1000772	1769849	
"Philippines"	1121753	1089051	1210358	1320711	1531986	1274587	1481853	1271896	1191667	1211459	1557123	1253190	1423375	1384372	1444176	1755709	1858537	1653966	1824900	1664205	
"Sweden"	1687814	1493470	1478489	1484685	1235027	1521410	1632382	1492623	1444789	1359255	1977303	1352432	1354542	1253053	1381905	985684	1190644	1279251	1308696	1594092	
"Austria"	1509978	1492600	1398536	1534556	1445576	1577474	1514363	1590829	1342591	1298463	1648197	1273087	1399970	1388760	1410181	1246437	1251066	1473008	2712806	1518067	
"Türkiye"	1474826	1578385	1601592	1606316	1412757	1431195	1417742	1428913	1552361	1464445	1369478	1375607	1452948	1538147	1414048	1528637	1504917	1449246	1382001	1492384	
"Cambodia"	946021	892434	1275892	1513965	1637352	1446150	932898	1021216	1088003	974752	1138746	1130005	1051420	1260791	1573792	1873986	1884379	1468573	1271991	1464782	
"Peru"	560849	615527	700698	839485	900232	1039752	1136176	1269782	1493517	1027469	753908	687472	822513	678655	728672	742287	902033	1102825	1005660	1444102	
"Poland"	1073587	1100016	1284669	1186300	1130984	1197831	1231775	1241923	1122064	1198733	1510985	1284035	1175299	1132291	1206302	1153647	1165029	1101514	1184354	1251795	
"Costa Rica"	1022847	1058987	967858	1017833	1074769	1018904	1104393	1241205	837841	1109943	1322761	1196880	1195997	1301805	1281115	1180604	1277673	1141623	1192671	1220793	
"Denmark"	829660	982900	829076	937907	1089823	858434	911657	968330	780696	840440	1221743	1106888	1264681	1565919	896062	988414	838615	834196	997558	1027757	
"South Africa"	1057804	1181437	1707644	1363722	1351203	1331095	1340304	1478959	2274038	3360506	1431374	863312	843227	849047	2012680	1023590	1104457	1108661	811535	1004398	
"Argentina"	588971	570746	505149	642060	730424	662869	668317	716687	698539	471036	495683	561271	633016	737030	828647	796643	796093	906718	899009	872372	
"Hungary"	852611	927330	1400611	1198078	1115241	1240982	1046318	1480242	914446	1137842	1236851	973345	1248816	966605	1137976	882821	953149	969767	710696	825034	
"Ecuador"	1018319	797899	833398	734952	649452	753368	847169	545386	840152	809199	958805	913548	831321	755458	902813	645967	798408	662554	686894	791223	
"Saudi Arabia"	1577131	1003035	1076906	1175545	1223394	723659	770362	725849	1160049	961361	778211	734938	915025	1014433	887081	1099999	784090	1025393	812883	770653	
"Bangladesh"	724921	603208	824345	733594	839063	871825	748354	686743	947303	823894	867609	924706	660096	868424	868704	783812	947877	797624	656928	742137	
"Finland"	615774	708666	829034	823103	717581	670762	786551	706070	648119	552640	770939	671298	747991	702392	962132	595595	435462	762809	712800	723026	
"Slovakia"	638381	734011	745493	575151	612149	614746	904314	953140	499248	522684	775420	474077	809794	620129	569223	304442	474932	463721	461322	712617	
"Czech Republic"	705653	733828	780687	721207	656022	724476	655062	674061	631186	629548	785674	826186	751002	760775	807081	665420	616730	648535	605554	685809	
"United Arab Emirates"	621216	703515	651055	607062	675705	1018848	743546	685365	684267	467339	914599	687366	669967	572465	551019	578275	774930	766013	591799	660963	
"Dominican Republic"	730622	699841	708500	624191	689739	663687	585081	626272	502896	598116	731150	678506	684921	704189	675185	660726	661563	640972	588194	653674	
"Norway"	682488	529149	639820	702087	599269	537926	529225	668179	574153	672811	679863	768665	620622	588859	518123	496086	504551	449541	529386	519132	
"Bahamas"	168256	156703	160317	70407	37049	110758	227327	373756	66952	122628	270239	224822	248412	250756	109654	128729	223066	225309	308098	512964	
"Iraq"	705479	737503	728752	660095	813159	536689	717068	525207	579210	377534	569161	552482	570942	579736	697542	750985	373410	394831	559707	495952	
"Portugal"	515827	573836	911449	585941	494443	444510	487418	494380	501155	516115	888572	566646	574760	527706	489636	785718	438767	380881	397413	479769	
"Guatemala"	503536	424051	465868	465103	468217	410146	368397	466752	466569	414175	585152	584683	529788	508286	521768	396590	415903	378542	353347	471138	
"Guyana"	546191	739287	773161	402128	357566	362417	242112	277697	359625	123175	359698	699046	469581	501285	552193	606343	254077	468043	391687	470524	
"Pakistan"	427880	469941	513070	429496	492421	520412	467217	472606	448983	433910	469006	504770	506516	371395	506323	519583	564361	513697	466485	452760	
"New Zealand"	519444	548652	556289	461079	456850	497954	390036	476173	500606	439762	525326	568680	553370	504620	514117	446222	505865	414020	439446	420043	
"Honduras"	527126	526813	478865	514282	483623	464595	435510	427144	357457	431461	631857	527157	544233	558026	523578	455753	438987	421825	428215	416467	
"Nicaragua"	420048	375194	412719	441291	412605	441975	344548	388578	335512	321513	461634	460668	426401	455600	461489	481270	471064	430481	405768	403839	
"Romania"	396175	337085	348780	360007	297078	317944	272649	339908	296162	287159	301143	359960	329581	363280	356543	366924	359335	324003	333844	336941	
"Venezuela, Bolivarian Republic of"	595514	517850	709407	635933	455423	653006	495173	650426	664531	494899	554010	416645	314386	229374	32869	97430	164346	305852	319768	312062	
"Nigeria"	498801	506429	692049	393069	482093	407929	266142	424058	367958	298366	488682	624605	411683	656864	390539	458945	555895	381358	215401	306702	
"Trinidad and Tobago"	198431	314543	274989	237700	321021	243627	292377	377031	255450	188239	300591	259336	247950	203354	246087	267730	214072	238439	125823	268129	
"Egypt"	207560	243551	218298	283310	217843	260130	178218	231103	217927	259285	221933	250037	226875	352652	309413	272561	272730	233860	189313	255929	
"Hong Kong, China"	801263	341834	315144	266199	426613	522621	331651	1383831	2350045	199835	250278	250802	243307	325867	263819	380841	212206	216875	256546	254231	
"Sri Lanka"	289039	202806	280601	248054	275987	317784	277863	236035	359465	247446	304054	315055	214345	213554	260463	268952	299359	273051	239305	252480	
"Qatar"	124341	165773	76129	119153	158404	134823	136003	64498	169735	164317	390731	363104	167982	66573	107979	148314	115009	90671	83565	250307	
"Greece"	199564	196692	186127	210173	168432	191600	208144	178276	190784	173275	226261	198641	184248	185727	225657	158977	176724	236792	218332	242725	
"Jordan"	267347	266195	330727	323291	314334	357052	232842	269494	270644	301725	280487	223210	214918	241482	301509	263608	345329	254528	223801	221945	
"El Salvador"	226253	186850	206308	192929	191518	220911	197698	191445	148268	199100	212657	202051	204973	213284	255823	173420	226256	204410	156087	190378	
"Russian Federation"	469531	207506	309759	95121	180669	328448	149427	142058	212511	358594	551967	528028	561394	424864	377770	226446	176409	240821	214871	173850	
"Uruguay"	107871	85274	128518	112019	99718	95939	150264	112733	131528	124508	145263	108169	187435	151549	172506	114465	122863	139381	80913	173608	
"Libya, State of"	236444	109842	160199	156838	63821	147642	85807	72483	170525	206	26377	99515	117163	164134	155097	171604	133195	123397	77561	158983	
"Morocco"	143478	227723	134411	174245	177382	180082	154626	137090	140402	176149	174879	161136	180751	134509	165352	162582	166106	177214	168717	157680	
"Slovenia"	555209	555460	635296	447635	629331	540700	455960	737314	509635	398660	552904	236893	203745	156391	170353	129091	379284	186560	118538	156373	
"Congo, Democratic Republic of the"	23216	14331	74731	18261	73118	21261	33851	54771	35860	28462	84106	105750	372035	400507	267192	369857	88360	12575	39447	145316	
"Algeria"	316549	204257	246825	196325	170601	153442	123883	313157	162283	305185	189016	155947	176483	180809	200364	341016	277636	110597	93153	138944	
"Bulgaria"	117548	116124	108985	129492	112406	130531	136392	150333	128832	123016	145094	122769	113445	120561	139246	143055	121651	116643	115576	138714	
"Lithuania"	218664	153735	201747	120616	223834	148777	135330	227428	147854	234571	190826	153668	233312	148585	130389	195635	143431	126475	146700	132956	
"Bahrain"	108434	98068	103099	103171	105687	92859	151027	114813	127730	109933	126247	111558	104706	113858	103201	76869	106021	100115	130312	115892	
"Côte d'Ivoire"	91787	53451	63244	81361	74962	72187	61139	76782	238327	132448	344333	211075	212171	203482	104019	122220	108522	98162	77381	115211	
"Paraguay"	16174	26820	25577	32988	39431	32954	43834	60500	58852	37473	35471	36036	57069	47826	44156	23207	26961	48168	63568	111986	
"Ethiopia"	36643	27108	60216	60431	49539	59395	37883	44104	39937	66892	74231	53382	87303	61454	95741	77699	118981	158653	139887	108391	
"Panama"	44576	73278	54317	55105	42515	47172	48631	46930	51438	45363	46356	58066	66326	42690	53744	51453	65325	61798	46945	103414	
"Croatia"	98206	64967	81735	108268	103979	78043	119896	64702	89960	80812	122872	61087	89668	77967	63116	75550	52082	97674	70673	98279	
"Tunisia"	145728	128361	102265	94634	73144	62270	66756	80805	72720	94199	89996	106698	82018	126779	77532	73826	106302	58383	58378	97659	
"Oman"	141545	81959	135638	109400	95064	106092	103112	113312	91692	85138	130273	93544	123364	102205	104945	101395	122883	76264	82549	90434	
"Kuwait"	321703	253361	178137	158032	105414	154916	77956	113774	131093	310801	252685	34034	101034	47430	62546	83700	233984	70705	57083	87895	
"Estonia"	80139	92236	88309	103095	108562	111737	92653	102914	111650	84047	98607	88470	78050	104594	71599	81083	78995	80221	87508	85903	
"Gabon"	34799	5467	20350	2380	11025	55405	25058	2817	1594	13276	4552	17771	44641	76918	55525	47852	125366	78555	80593	80546	
"Kazakhstan"	269986	251694	200454	162756	209391	167104	231077	196346	876745	846864	1152264	143054	194494	128405	138258	119408	302944	112519	35425	75993	
"Serbia"	63117	60100	66203	78649	73164	90368	82038	85019	70324	75560	86613	96308	83663	91021	90337	88045	88204	85521	61627	75269	
"Kenya"	71113	46101	65954	59678	70839	85316	72686	75797	69508	67233	65970	82373	73602	58828	73952	83530	96707	70003	69444	72519	
"Lao People's Democratic Republic"	28728	26587	69677	106903	106531	128829	154905	116379	92062	111799	212577	251941	300701	374677	264093	173971	138865	79721	84471	71147	
"Luxembourg"	84971	54210	72709	54942	46271	59194	63397	59228	80008	66037	125029	83355	135369	64473	79145	75927	50900	62131	84222	70509	
"Ghana"	109217	25939	97982	105752	42451	63910	95433	81321	122336	120389	178037	184186	110714	168246	75435	95675	71645	39513	26417	65013	
"Ukraine"	112428	102837	91352	69395	126788	108164	103348	105353	168863	105537	113176	163657	155827	92536	166172	116902	127522	127089	106277	63873	
"Myanmar"	47500	45601	48302	65339	70766	83068	64068	62256	55592	46890	77131	59726	60179	51798	78690	86550	90001	66009	68377	51123	
"Iceland"	72456	67222	118964	64206	112251	117440	113155	184802	77271	114780	92831	78553	77702	70435	117859	171552	67659	72723	53215	50211	
"Latvia"	55729	52163	55117	47841	54504	43148	62938	54252	50041	49980	51637	72551	63252	56982	52590	60252	42245	41892	66314	49639	
"Haiti"	69451	59918	59044	54864	50274	57298	47509	50040	30186	48407	54230	51027	50875	47756	58074	45431	53728	35873	39864	42925	
"Madagascar"	79172	47814	51236	76542	62320	79471	48088	65261	74657	49685	63555	60237	68696	56927	61593	48243	78364	45988	65552	42339	
"Angola"	125808	56881	152742	318629	223448	192425	207230	174894	82146	65598	29411	25904	70051	100112	174500	134426	81323	51541	41122	40782	
"Bolivia, Plurinational State of"	45959	39279	30830	57705	49517	57842	46933	41274	44047	53874	43540	30869	57533	58699	65100	61859	64359	37669	72138	40377	
"Jamaica"	32489	27536	30384	24249	42448	36020	28870	36655	51782	32190	25314	32070	25012	29085	27772	47992	25442	27983	34957	37517	
"Bermuda"	5335	939	4249	2872	1621	1995	1758	872	787	1405	1080	1581	1637	1241	1551	695	1057	859	2404	33466	
"Faroe Islands"	20149	12573	24679	23269	29421	25306	22741	24811	27886	23392	24917	29575	22620	20324	22430	21250	28133	28988	26934	29972	
"Macedonia, North"	13453	11583	16472	13572	8824	11750	20671	11223	20268	27664	25579	17811	27717	29540	36998	20927	24698	22573	29742	27161	
"Mauritius"	27058	19720	23812	19383	22407	27748	17080	18973	11663	9215	14204	10920	24660	17145	30607	11048	17327	20785	9108	26338	
"Tanzania, United Republic of"	30906	14955	11327	7894	19375	12712	17878	12901	41825	26315	18303	29729	22918	18369	17499	15168	12655	12230	7998	25739	
"Cameroon"	43193	11696	9024	8698	10562	8028	10669	13463	9127	9181	25943	24722	13982	25460	18726	31654	16437	23084	74868	23313	
"Curaçao"	14811	6445	8135	4852	6166	6228	16986	21005	16625	18205	15077	15162	24715	10498	6738	9043	15379	10458	27791	22411	
"Fiji"	21331	36548	26719	32437	31243	38395	33351	32591	22377	17818	30004	31515	28933	26485	20629	24676	26516	20289	20483	17317	
"Uganda"	14082	9247	12737	13322	16169	16104	15645	7828	8430	11886	12244	24607	18016	22825	28131	14640	14636	17049	16482	14843	
"Lebanon"	23139	16147	33815	12252	50701	10884	19404	21931	14695	13949	33823	17584	10908	18055	33023	13438	28186	13036	16518	13752	
"Macao, China"	9402	8861	12911	6434	9890	11275	7472	7383	7672	6252	5895	5912	10976	9436	10770	10645	17981	17617	15453	12613	
"Albania"	5320	7102	5697	7900	3918	35560	6904	5648	4658	8524	6700	8347	6881	9125	9585	7798	5644	8248	30526	12185	
"Nepal"	11433	10928	10853	13678	11450	14308	8699	8821	9952	10078	10630	8886	11718	10147	13026	12169	11473	12367	9989	12084	
"Brunei Darussalam"	23729	17608	5588	10882	37287	1746	44770	2102	1691	28687	894	2212	4959	14311	1872	6256	3257	36310	2712	11228	
"Bosnia and Herzegovina"	17330	16548	15360	20355	11874	12932	16454	13328	11145	11172	11686	14174	12896	14044	19268	14811	24479	13309	8268	10436	
"Liberia"	3019	4897	7807	2134	10626	6779	6308	11775	6187	6483	10309	2489	4439	2639	8759	5830	3580	9508	3323	9420	
"Malta"	17525	27292	23481	26569	21380	18209	18861	20167	22814	24502	25846	53107	31681	28983	23525	16634	18221	22614	10313	9188	
"Namibia"	19346	18754	106100	14418	29292	14702	13544	16683	11475	21058	95579	6928	9940	5111	50517	10674	13563	37558	6643	9182	
"Togo"	11545	6553	5364	6381	15404	8222	3792	2825	1931	5459	6990	7166	9399	12079	10290	7939	7967	8161	5156	8625	
"Papua New Guinea"	4593	5394	7168	5305	6416	4905	8487	8638	5130	7456	2897	5927	6598	2995	5463	10973	11097	6692	5996	8562	
"Lesotho"	22233	15798	20203	10439	17535	15148	11214	50203	15376	13626	28537	16317	17046	9658	16306	12795	17068	10005	9883	8538	
"Malawi"	11232	2913	1749	1601	4339	3047	2098	1555	5286	6259	2947	7039	4070	3239	1869	3015	2835	3415	3418	8082	
"Georgia"	8579	5481	7378	40872	14289	5955	32371	5282	28279	4650	7961	4670	5133	16971	4562	8080	21572	5655	5725	7957	
"Cyprus"	4192	4899	5459	3405	4955	5326	6276	7836	6899	4664	18264	7093	3567	5214	4562	9136	3692	4856	5616	7922	
"Zambia"	24673	14019	5799	11533	26641	8578	10783	5842	30948	1851	36578	36869	59927	14221	30840	65334	22511	3861	13992	7780	
"Moldova, Republic of"	15546	11780	13190	10781	7189	12075	9728	12997	9291	8471	10122	10099	10340	8357	7482	9367	8097	10065	6791	7195	
"Botswana"	87956	20320	28989	36804	22166	28338	32160	20499	14312	10966	71345	16088	46016	4724	15237	8816	13009	9753	14341	6974	
"Benin"	3799	2953	2522	4119	17212	4975	2752	991	1139	1695	2989	5036	8890	3267	2075	5511	1681	2455	4169	6692	
"Uzbekistan"	3717	3256	9618	2621	7557	2694	3227	3447	224194	179577	113989	15297	6295	4215	5009	9161	7101	4593	2327	6436	
"Mongolia"	1108	839	2405	1660	2097	2338	2430	3593	2251	2889	1376	4180	3154	1856	2492	2365	5416	9360	2960	6396	
"Rwanda"	437	1116	1054	468	3197	5346	3877	5787	6076	2374	1936	1792	2643	2810	2637	3016	4227	4069	6190	6233	
"Suriname"	17235	6766	7957	6058	16659	6932	6188	6807	7332	5769	7763	6071	7387	6894	3985	8523	6668	8279	6324	6086	
"Armenia"	8865	12303	9780	11678	10727	14131	6574	11434	10007	8123	5993	4390	3060	4001	4781	9268	4205	3808	5525	5306	
"Azerbaijan"	56301	8902	10982	7568	11513	8169	6599	4273	11845	8318	10989	16718	10249	15008	8645	3957	6974	5253	3183	5219	
"Greenland"	2487	2598	1860	1649	1793	2984	3130	6739	3804	3005	1816	1478	719	1279	2096	2257	4008	1623	4214	4094	
"Senegal"	6643	13252	7546	7891	12148	11982	12970	83972	32610	6469	20357	10754	22970	19972	79716	5981	15202	5822	3471	3905	
"Barbados"	3645	4627	4353	3637	5133	5850	3701	4272	2856	4601	5306	3874	5132	4053	3565	3892	4527	4136	3592	3838	
"Cayman Islands"	2811	3341	2063	2265	5808	2110	20628	2883	2529	3534	3120	2869	6875	4784	1882	2527	3323	2579	3867	3263	
"French Polynesia"	3313	3655	4520	3433	4586	5001	3768	3218	2547	2119	2380	1985	2095	2200	2513	2209	2177	2355	21273	2984	
"New Caledonia"	3292	4050	1743	4664	327	3368	2635	4801	1219	1872	3700	1578	1390	2722	5209	1519	4431	4929	1539	2777	
"Belize"	10125	5676	17761	12329	3004	3187	4090	4966	2195	2681	2162	1686	11131	4758	20239	2832	4455	5033	2095	2689	
"Kyrgyzstan"	864	1204	1456	2800	2366	1502	2767	936	1769	2127	8587	1666	1838	1659	1040	2010	3499	3871	1621	2409	
"Timor-Leste"	374	142	174	92	136	674	1211	953	749	623	5	0	0	6	1	9	2583	3155	2704	2274	
"Belarus"	1474	2926	1404	1309	1499	1595	1900	1599	926	1265	1771	1832	687	1825	1673	2380	1344	1679	2512	2196	
"Equatorial Guinea"	9675	4391	5923	13816	13074	8906	15390	23170	10034	21576	3054	13290	12196	5702	8656	2655	12552	8289	4358	2181	
"Afghanistan"	1379	2047	1120	1553	1852	1862	2669	2530	3484	3047	5091	2247	6705	1482	3132	1520	1983	1894	4632	2079	
"Djibouti"	4506	709	2587	4547	7993	4012	1713	4864	3144	2113	3291	3992	8029	9054	6982	394	1680	7626	1512	2040	
"Saint Kitts and Nevis"	1920	1574	2310	1230	1312	1458	1444	1520	2243	1237	2183	1858	2910	1444	1994	1068	1231	1492	1604	1996	
"Mozambique"	26749	7994	13443	31758	8912	30237	16006	14695	63666	3941	12753	2418	16231	1028	2514	17112	3821	22307	17492	1839	
"Burundi"	307	102	142	250	2	330	85	188	877	842	1379	635	429	613	247	794	409	165	105	1779	
"Bhutan"	132	123	547	808	679	653	460	92	719	47	132	611	302	5	1490	549	389	32	691	1736	
"Vanuatu"	323	369	960	1880	884	1025	2350	3293	2019	1999	346	792	1524	1857	895	312	2444	2050	1674	1676	
"Grenada"	2281	2369	880	665	959	788	912	715	697	1243	1429	1824	1839	1858	1338	1009	1103	1248	1118	1590	
"Marshall Islands"	1494	1611	2520	2461	1637	1725	1632	3043	2144	1894	2140	1854	3764	3440	2339	2733	1736	3069	1490	1341	
"Congo"	2260	1920	2383	1156	6529	9078	2564	5796	4561	16629	15358	30252	5608	7935	5364	7068	7789	2517	1800	1247	
"Sierra Leone"	1504	790	1650	13048	2113	2209	2679	882	13382	969	803	1228	14764	811	1107	897	1233	14733	760	1039	
"Syrian Arab Republic"	657	295	723	1300	404	1952	1815	419	606	980	799	813	356	796	1387	634	332	275	79	1036	
"Montenegro"	672	4657	598	817	1238	1172	408	720	800	1358	689	395	229	1014	906	550	2945	606	410	977	
"Chad"	159	16862	877	0	809	566	478	718	335	224	99	682	1117	846	4524	3207	574	2447	2228	938	
"Mali"	906	592	800	253	61	311	711	134	208	606	110	114	593	156	118	1479	560	817	158	797	
"Zimbabwe"	10393	3388	3450	1598	3540	11635	4416	10333	12721	6114	9468	7546	7782	6873	6007	1494	2809	2644	16983	750	
"Eswatini"	1062	928	1611	867	1629	11434	1458	951	1044	1527	562	1427	1382	874	1683	1349	2140	1227	12659	748	
"Saint Vincent and the Grenadines"	1240	2215	777	352	692	673	431	504	310	215	285	288	482	384	661	949	827	795	642	685	
"Aruba"	770	733	1152	1279	1761	1040	716	656	472	492	752	568	810	810	572	3483	547	652	743	679	
"Yemen"	1541	466	884	202	1761	1685	517	463	613	969	1061	648	920	410	914	334	529	562	184	674	
"Antigua and Barbuda"	2549	989	273	451	3300	1789	443	782	173	599	2344	3557	1671	793	681	202	287	224	1776	540	
"Turks and Caicos Islands"	1225	1423	1033	1007	1103	874	938	540	353	698	647	989	914	1296	667	427	528	1167	622	516	
"Sudan"	40	908	645	1811	3140	2301	761	1246	4	76	2	435	1956	2411	912	2364	2076	2134	2388	492	
"Turkmenistan"	152	25	115	150	2864	1025	25	604	76	156	13826	7718	2767	9745	1690	151	3183	32	884	487	
"Palestine, State of"	476	515	606	332	250	306	964	1235	1489	1053	220	124	419	420	274	91	327	513	877	411	
"British Virgin Islands"	315	472	984	618	944	850	50785	838	526	686	688	493	1104	7977	308	207	675	577	372	385	
"Saint Lucia"	798	750	488	501	568	651	294	1005	403	712	1020	1372	564	356	668	539	720	6322	543	372	
"Burkina Faso"	325	141	125	657	1929	712	222	9	658	107	303	13	226	9	5	703	944	716	1154	360	
"Seychelles"	928	555	639	523	565	752	604	689	160	265	1320	354	635	173	152	265	235	710	67	347	
"Andorra"	171	342	477	169	135	449	119	119	271	329	2630	501	523	456	472	202	139	379	852	338	
"Niger"	131	647	144	314	1268	216	485	422	133	301	195	206	264	254	100	242	125	911	76	331	
"Maldives"	448	243	534	207	413	503	491	383	690	493	1134	244	326	593	317	413	797	476	689	329	
"Dominica"	149	51	109	315	612	394	127	176	44	107	269	186	189	255	212	230	142	197	186	266	
"Guinea"	388	609	380	466	326	364	514	154	353	439	155	153	1040	537	2372	828	312	1592	2642	251	
"Cabo Verde"	460	243	501	161	455	315	579	272	2921	52	361	384	769	499	108	80	129	621	8	231	
"Mauritania"	128	257	298	48	119	79	598	98	144	115	13	45	94	19	19	11	151	44	10	210	
"Comoros"	89	204	45	14	466	329	36	376	173	5	180	3	0	1	256	49	0	0	2	186	
"Tonga"	238	183	439	240	435	200	184	652	513	74	347	332	267	634	287	409	80	290	263	153	
"Samoa"	655	582	327	861	524	764	68	883	54	33	608	199	856	386	479	779	587	742	14394	144	
"Tajikistan"	46	71	3	19	140	346	930	2732	42	53	2	161	137	4	7	1	0	52	3	132	
"Cuba"	128	1451	106	155	39	105	2	0	13	69	0	4261	102	0	11	5	187	12743	40	122	
"Kiribati"	65	71	94	105	110	107	126	147	28	329	169	188	99	70	102	116	100	103	95	109	
"Somalia"	138	95	226	214	9	252	632	103	126	111	2	1	14	173	1	1	92	63	92	60	
"Gambia"	8	62	34	59	153	163	52	212	5	15	99	119	51	97	2	42	62	19	248	50	
"Iran, Islamic Republic of"	769	87	33	107	310	517	0	347	91	511	54	3	261	78	3	18	132	201	10	46	
"Solomon Islands"	347	41	317	55	95	122	56	69	242	354	48	50	136	27	263	21	64	71	331	43	
