Exporters	Imported value in 2021-M02	Imported value in 2021-M03	Imported value in 2021-M04	Imported value in 2021-M05	Imported value in 2021-M06	Imported value in 2021-M07	Imported value in 2021-M08	Imported value in 2021-M09	Imported value in 2021-M10	Imported value in 2021-M11	Imported value in 2021-M12	Imported value in 2022-M01	Imported value in 2022-M02	Imported value in 2022-M03	Imported value in 2022-M04	Imported value in 2022-M05	Imported value in 2022-M06	Imported value in 2022-M07	Imported value in 2022-M08	Imported value in 2022-M09	
"Belgium"	1872543	1891293	1851015	1619351	2003317	1868326	1596230	1689140	2020217	1816603	1565250	1656504	1949034	2334379	2402645	2089522	2338444	2102953	2109848	2208416	
"Belize"	2170	21820	3962	4031	3729	6543	9715	2112	5752	4485	3781	4967	2522	2850	4199	3520	4922	7188	2462	20209	
"Benin"	297	1621	405	911	153	259	3030	718	248	193	313	176	445	8	241	528	66	265	842	75	
"Bermuda"	869	1054	741	909	976	776	631	328	1941	672	1248	257	435	617	1439	856	3165	823	1828	1335	
"Bhutan"	13	35	31	71	123	21	0	42	4	9	8	25	6	3	6	4	56	13	91	5	
"Bolivia, Plurinational State of"	35223	47680	36285	39201	35777	37316	34475	65277	50509	60930	25915	52491	57809	75241	53590	103002	60566	64610	31309	47629	
"Bosnia and Herzegovina"	7881	13732	14333	20858	17666	9876	15085	15276	14307	16477	17246	15396	12784	16693	15654	12567	16311	16570	17683	14247	
"Botswana"	15722	12027	14871	13340	14377	36084	33532	37171	18266	21916	28084	16355	24714	20992	34207	53244	58435	53940	39077	50680	
"Brazil"	1770648	2257744	2454874	2551632	2972545	3190033	2952197	3455140	3160298	3015554	3200947	3054682	2470222	3282869	3107056	3098305	3946517	4160640	3799545	3634785	
"British Indian Ocean Territory"	28	50	42	1	5	2	3	13	105	59	90	19	6	32	78	17	11	55	158	31	
"British Virgin Islands"	210	401	663	424	730	245	946	513	244	248	103	635	502	629	430	408	140	112	232	305	
"Brunei Darussalam"	1647	2198	2128	2725	1819	1438	2017	1039	1236	1415	1946	669	1167	17300	1610	24196	1370	1659	19401	8815	
"Bulgaria"	78768	104695	95569	99052	118561	102984	110812	102543	110703	111029	104194	88278	107428	142963	116900	134696	161303	138781	124968	138397	
"Burkina Faso"	95	393	233	287	380	523	115	458	450	511	254	403	561	1081	570	1306	703	246	170	525	
"Burundi"	858	628	645	76	135	2	60	14	2	16	1	261	852	803	660	633	49	2	4	751	
"Cabo Verde"	87	554	938	95	750	165	910	517	190	621	572	695	558	212	734	448	936	450	775	648	
"Cambodia"	570946	783655	694079	651299	545684	713415	988616	1022768	1127554	862257	798450	918805	938380	1171805	1113465	1185600	1069792	1215310	1400851	1311205	
"Cameroon"	5973	11586	6160	5413	6240	6013	104282	16778	16534	9566	13837	8412	5413	10482	6359	12770	8282	11403	9889	11434	
"Canada"	25921012	30513110	28121674	29763704	32873157	30670241	31806464	30487803	31959961	34536705	33914654	33178146	31689465	41334856	38900929	41342631	41454559	38860472	39767641	36953681	
"Cayman Islands"	791	1272	1294	1429	1311	2259	1156	1799	1885	1679	28453	28755	1762	2355	2312	1142	1542	770	1369	2683	
"Central African Republic"	0	204	2	6	82	7	81	1344	3	69	12	0	37	21	2	28	40	41	81	302	
"Chad"	89	802	225	137	44	776	435	725	579	49	357	8	252	915	82	7	448	537	789	772	
"Chile"	1208384	1778770	1406202	1159452	1247423	1181225	1534761	1473868	1577255	1126794	1334640	2179444	1260385	1497778	1555171	1572290	1475069	1563916	1226224	1276391	
"China"	36029062	42624888	39868723	41138149	42648924	43282451	46395546	51061376	51835065	52143509	53212094	51585738	45642893	51019232	45226476	47350505	52272633	50288329	54064186	52465118	
"Christmas Island"	1	39	111	27	146	17	937	13	7	13	203	91	39	88	158	4	43	112	227	136	
"Cocos (Keeling) Islands"	106	420	115	45	46	54	130	82	97	24	1566	372	95	43	27	186	66	163	86	20	
"Colombia"	1051996	1023590	1301405	1158807	1090571	1047659	1139694	1004115	1300964	1301591	1337084	1346208	1386142	1623686	1777642	1861481	1720925	1968692	1570869	1581315	
"Comoros"	948	1	263	1554	970	419	49	723	562	37	823	1055	732	1104	1012	88	686	94	96	23	
"Congo"	1552	2964	3552	4572	3148	1587	21779	1133	5384	3958	2676	3227	2092	1756	9060	2532	3529	5474	10084	4136	
"Congo, Democratic Republic of the"	6043	4396	23075	41063	19790	33373	43765	40633	12510	8627	34801	13943	7890	48983	37729	9866	14773	10013	11736	11606	
"Cook Islands"	1	62	116	56	36	680	77	5	50	132	51	12	31	197	249	140	76	10	256	15	
"Costa Rica"	509628	639289	523247	641362	599543	593241	560392	600003	594816	571121	605132	482047	560567	704065	720609	763751	879197	753142	825571	911843	
"Côte d'Ivoire"	128799	233765	152927	95439	114337	60067	53000	103904	62834	60941	47409	137964	51146	117399	133011	128174	124383	72750	97029	77405	
"Croatia"	76805	72796	66870	105577	76125	69074	61776	61349	69805	56824	48045	66703	75441	84895	75061	61283	59957	99957	65889	68943	
"Cuba"	1320	175	105	25	37	0	316	0	417	484	23	120	282	825	1431	1686	433	35	0	0	
"Curaçao"	1639	5533	1667	6587	8053	9317	15144	2780	10573	10641	15602	6053	15046	7783	19287	5458	7797	2675	25416	3538	
"Cyprus"	1821	5343	4745	3970	5076	11640	4313	2452	4409	10079	8561	11437	5590	9867	3357	6320	11816	3717	5707	3078	
"Czech Republic"	433045	535642	573640	561215	531923	622164	567345	576744	533084	641806	617863	535562	544211	686810	625574	675467	715394	706235	628705	714708	
"Denmark"	882532	1035176	875597	930973	1273164	1111132	1254111	660459	883225	1378751	1041238	875574	1074782	1122456	908722	1214383	972974	898769	1094086	1107772	
"Djibouti"	1074	1572	497	3040	5891	4361	1735	7075	2096	746	708	4598	2497	1874	3534	4730	1009	677	1789	5047	
"Dominica"	119	80	124	145	71	290	47	1118	139	125	280	54	46	95	59	94	243	44	481	150	
"Dominican Republic"	460726	615470	528541	586782	583089	548088	561562	561934	588641	558555	583089	409592	551294	715193	578931	665909	636580	623946	637206	578261	
"Ecuador"	548074	688879	863266	784115	720259	661411	746147	663829	678694	770972	903015	639096	745257	848884	955399	1148748	1074848	852299	949617	1155131	
"Egypt"	240231	231354	264590	313394	282796	272033	347807	238363	489815	280591	288676	350626	241789	237540	304564	280991	295949	299453	222429	244067	
"El Salvador"	185599	240793	208665	214084	223122	251358	222278	261818	224411	209659	232777	202709	241088	306625	242064	252791	276013	311043	257056	265759	
"Equatorial Guinea"	19625	12189	22589	9998	21938	38041	15547	42468	28598	3562	42223	10265	28081	15892	22045	18960	14508	13036	43409	24825	
"Eritrea"	129	48	8	3	8	3	27	15	0	3	175	6	16	97	10	37	30	4	7	92	
"Estonia"	81372	131418	123887	178705	154969	145647	182273	238060	147965	147004	233247	123588	106296	152615	121115	113219	144641	145670	108535	138850	
"Eswatini"	326	489	752	1052	1053	690	773	1837	13353	2333	947	446	807	967	486	9226	643	890	309	1482	
"Ethiopia"	25837	42089	26347	61431	53403	69314	81938	63363	57204	48798	50796	75118	42995	55487	49815	83174	73143	76554	77090	65919	
"Falkland Islands (Malvinas)"	1	3299	1242	851	3061	806	1703	6	26	24	1653	1914	18	248	8085	53	8378	287	28	0	
"Faroe Islands"	12296	18064	18695	16494	18172	17038	13442	19957	20034	27252	26260	22140	22233	25726	20265	28050	28392	23533	24882	25174	
"Fiji"	18126	24424	24376	18192	33694	18806	16281	40867	26323	39410	23114	30187	32477	24622	30203	40617	38557	24326	34447	29327	
"Finland"	491955	557998	664962	475869	528704	664383	541420	503460	526808	851260	723286	642746	701544	608463	877621	838862	989571	742824	825919	623377	
"France"	4398994	4197919	4596480	4021595	4447527	4715498	3930939	4317167	4579246	4410330	4213674	3986682	4014669	4831361	5453531	4820367	5280090	4999512	4802087	5062497	
"French Polynesia"	46354	2510	2146	3570	6145	2842	5189	3511	4342	3898	3482	3008	2928	3915	3122	3340	3968	3840	4068	4156	
"French Southern and Antarctic Territories"	1	0	0	0	1	4	0	0	12	3	145	0	0	3	16	4	6	1	5	3	
"Gabon"	10285	16126	3781	4016	8702	16663	4348	23419	11726	11336	12753	2705	13361	5304	11036	59822	4611	12610	85690	15588	
"Gambia"	99	221	69	311	164	58	37	50	55	21	146	238	364	122	212	56	86	21	303	12	
"Georgia"	8333	17401	4137	18325	6790	23798	27989	26423	26342	5110	33253	6593	38634	39581	44976	7660	64155	70839	19007	3244	
"Germany"	9444295	11762730	11369333	11424961	11812322	11599433	12500528	11287949	11999183	12072643	11933028	10303282	9750189	13298057	11959206	12698161	11724924	11992007	12444321	13083822	
"Ghana"	215844	98595	46535	144882	139968	177258	169949	154161	167725	202244	114930	231129	133089	219180	303680	185932	270161	256465	224767	211049	
"Gibraltar"	289	338	455	97	647	25	27	710	565	516	85	31	4	135	15	300	123	63	319	103	
"Greece"	126615	152518	146683	151538	177113	175893	171449	142845	138481	168173	160497	154501	146753	207163	163356	216973	296702	261241	239039	208131	
"Greenland"	1476	4075	2701	1287	1491	3855	5662	1152	11416	2627	3707	2064	5603	2804	2637	2608	850	3579	1387	2293	
"Grenada"	1199	2155	1582	1804	1616	1477	1110	1241	870	1536	1307	1012	1436	2964	1733	2299	1820	1822	900	875	
"Guatemala"	358345	473576	439316	401386	418988	426221	459825	452172	396518	421243	482593	444589	420364	565071	599084	519477	537825	505476	509964	437777	
"Guinea"	613	481	2140	607	985	1162	765	323	723	998	763	1357	589	898	879	772	599	914	160	508	
"Guinea-Bissau"	25	22	0	34	118	0	0	3	3	0	0	0	0	0	0	1	14	0	0	0	
"Guyana"	197225	105053	143242	239107	167789	188488	191047	404080	260311	295721	16183	268603	188475	123283	143024	169597	607394	130608	454930	164689	
"Haiti"	85907	96264	100912	99121	96540	102014	111576	105074	123893	71047	101763	63074	81161	98532	135749	103324	108719	107333	118484	77042	
"Honduras"	407249	507386	447926	471843	505108	461863	496813	493287	442961	461132	441944	371342	491546	614626	551054	601983	596431	552791	596833	539923	
"Hong Kong, China"	278561	238922	395938	314336	343377	283610	313560	361197	413906	578854	437316	375781	332735	712047	490276	353854	362294	335804	429128	411803	
"Hungary"	411180	750116	570818	575897	602373	666681	632502	530194	750783	622663	653264	459037	455457	615246	681237	605928	692305	827748	708276	752934	
"Iceland"	36489	58775	39881	56777	45454	53199	51729	55346	55797	61963	64536	56268	55243	67560	64093	56273	74038	47677	60358	66197	
"India"	4703042	6194865	6291287	6338503	6137718	6418184	6922862	6638705	7522508	6913228	7492211	7036154	6332734	7703123	8133723	9002875	8652534	8057922	7482815	7710801	
"Indonesia"	1701034	2194676	2496529	2512710	2268278	2166298	2534895	2800961	2831196	2677818	2899146	3018849	2679685	3427102	3527485	3549624	3063552	2632630	3226200	3393629	
"Iran, Islamic Republic of"	112	8	106	0	62	68	193	65	434	84	130	0	106	4653	11	135	88	27	79	5858	
"Iraq"	153784	382229	279849	406260	313267	456534	289374	159048	316354	376771	584017	544395	481445	517402	737174	977451	1029158	1697708	959509	779151	
"Ireland"	6385013	6059572	5610291	5748112	6115132	5391049	6328927	6917514	6810065	7546691	6016978	6115221	6397893	6708262	7457622	7426384	7541535	5178692	6442879	7026136	
"Israel"	1284238	1581772	1494139	1503704	1828952	1577332	1702677	1347867	1633178	1920473	1764344	1776540	1604647	1928948	1776373	1904703	2106419	1684396	1743871	2018832	
"Italy"	4291258	4827546	5136316	5338525	6086306	5934910	5518669	4750817	5515749	5664534	5476894	5029928	4682885	6000175	5849620	6688627	6650366	5954020	6621594	5176653	
"Jamaica"	38066	42150	21124	58062	109653	50478	51509	24983	31089	37224	32931	23376	30193	30992	23394	31755	31138	42224	35432	25398	
"Japan"	9573660	12588590	12810207	11823012	11718386	12658531	12758367	10872477	10882607	11147543	11942642	12447373	11680175	14530022	12693030	13137021	11918444	12705919	12969774	12038883	
"Jordan"	162932	250612	183715	188177	222993	240141	320517	227843	283533	305947	247496	240070	226413	247893	222186	337848	225881	262037	302833	321217	
"Kazakhstan"	83815	143421	126369	302055	239468	154900	118893	143390	99589	143095	156737	366083	147293	124522	290390	211997	213812	426506	265289	71199	
"Kenya"	36756	71264	51481	55740	48520	62543	83954	64918	57306	68119	53507	57903	40909	84627	66797	77529	65041	77337	119321	84226	
"Kiribati"	1	90	0	80	31	202	0	147	72	315	101	235	169	172	411	0	256	4	0	160	
"Korea, Democratic People's Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
"Korea, Republic of"	6423513	8298922	8415833	8236363	8786556	8292973	8858271	9053525	8208902	8406119	9076643	9109780	8761112	10024476	10451155	10901268	10430753	10032021	10021760	10484679	
"Kuwait"	49455	17155	133394	51254	115951	79691	116224	118486	131698	117219	151360	184938	65905	104414	237246	267916	200963	159370	114580	52949	
"Kyrgyzstan"	523	1092	489	1322	242	584	396	299	369	300	370	410	1061	1357	720	308	539	1951	1640	502	
"Lao People's Democratic Republic"	13747	21244	18264	19886	23230	18898	19068	17063	20075	18001	25570	20057	19532	25811	21113	21294	25829	23156	31878	24327	
"Latvia"	26982	49264	62299	57455	72554	65263	95084	66391	58112	69148	53087	44632	37331	82069	83241	56619	95782	87113	56978	69543	
"Lebanon"	6261	12471	15701	23048	31036	12481	21998	12252	13019	15630	13615	9576	16463	16082	24506	17859	14067	14856	20512	18672	
"Lesotho"	16172	14456	28120	31006	25133	22366	37185	32400	28113	47464	31792	31545	25329	30340	21417	21508	19339	50141	27032	34429	
"Liberia"	6680	9155	4309	6204	5490	4373	3647	11328	10211	7060	8300	9547	5033	7051	6585	8347	11334	7037	8087	7432	
"Libya, State of"	60378	171835	200038	299406	230823	114626	343049	216138	264085	218199	101485	228425	188022	198264	245111	178674	216257	82554	175562	258150	
"Lithuania"	129181	226702	176543	227644	252672	127795	133840	159536	160278	224970	136331	208017	307860	183855	351514	251133	174878	129825	203721	204556	
"Luxembourg"	45187	48770	50220	46692	56953	56888	50898	54008	41742	85548	46634	79027	39099	49527	49026	81209	48124	77679	93060	68616	
"Macao, China"	7813	13046	5979	11964	13552	16230	11540	18727	14951	12884	17137	17315	9592	11449	9629	16198	16368	11199	16114	19359	
"Macedonia, North"	5251	7935	9419	30873	6664	29275	7341	9116	9718	10617	11036	17225	41019	18035	14703	55219	18767	13976	11842	7456	
"Madagascar"	40318	58860	50014	65544	69036	51798	49398	44279	58343	83171	60531	87852	69786	91736	87921	87890	77340	112281	75898	60881	
"Malawi"	3905	4339	2956	6201	2361	4115	4468	2264	3286	6147	5849	6475	3971	3149	6284	4486	2892	2662	2056	6097	
"Malaysia"	3696412	5591357	4704495	5237974	5275944	4978680	5406987	4697926	4407845	4609741	5330471	4570883	3875353	5852894	4660112	4852763	4904967	4510090	4757869	5182901	
"Maldives"	1701	2024	1281	1415	1404	638	1774	1319	1124	956	821	1437	1910	2328	1958	252	2127	870	1752	1197	
"Mali"	73	202	215	109	602	614	371	507	182	157	340	59	1101	350	914	858	430	319	515	79	
"Malta"	23286	18301	21294	18602	15102	26732	23407	26058	21266	20444	15597	18143	17006	20798	22078	27419	17054	13797	23458	19275	
"Marshall Islands"	1007	3898	1260	1126	1327	1538	1551	1120	1811	1113	1581	1710	1377	1338	2400	1968	2045	1895	1282	1983	
"Mauritania"	206	107	420	209	1017	632	189	483	128	724	80	495	282	48	418	534	342	1612	1466	535	
"Mauritius"	15584	18244	19795	17251	21512	28697	25914	21626	24717	26986	25061	25027	18361	28305	25507	17462	26791	30487	31773	26875	
"Mexico"	27712866	33721244	32494032	31669450	33325369	32189120	32379267	32347193	34666997	34940477	33565646	33584001	32854957	40851780	39251439	39881999	39785045	38146151	40676444	39855061	
"Micronesia, Federated States of"	127	128	230	93	110	389	170	583	247	113	267	134	167	92	89	95	731	106	273	179	
"Moldova, Republic of"	3873	4168	3389	5842	6296	10600	5122	9484	5070	7690	7457	7192	6024	5640	7567	6819	10575	8102	10059	8398	
"Mongolia"	388	568	1009	1224	1359	1307	2531	2251	2653	1763	2578	2989	1674	558	780	2459	3235	2213	2260	2464	
"Montenegro"	256	860	527	739	559	964	357	957	143	1663	540	597	800	408	548	514	249	404	647	382	
"Montserrat"	28	323	174	139	46	32	160	14	95	250	514	122	365	84	46	204	128	34	114	256	
"Morocco"	92926	118516	115883	112190	102718	123001	128435	98191	90440	132136	145092	116311	139938	147715	153336	194263	128262	156146	155558	183342	
"Mozambique"	9374	2514	7659	11854	25754	7853	13124	41055	9351	8258	16881	24552	4945	13433	15065	19083	20794	7023	21816	7504	
"Myanmar"	80989	112150	71870	66752	74701	74816	73377	81882	85461	92170	86761	85734	83421	84487	93137	121301	82416	88479	116952	100043	
"Namibia"	14403	9949	9021	10004	15363	10748	4718	26621	16554	16604	14298	6209	10296	12369	26442	80645	11626	18598	20703	11406	
"Nauru"	186	53	210	410	46	116	57	414	342	45	98	193	63	237	346	266	353	90	237	247	
"Nepal"	8741	10252	8733	7016	8353	11008	11285	11784	13116	9982	9958	10161	10354	12398	10038	11208	12105	11829	14748	14302	
"Netherlands"	2072875	2637746	3132222	2819023	3057463	3481562	3428551	3953550	3042636	3345358	3444300	2301541	2824316	3938238	3309291	3668664	3472154	2604890	2498873	2423997	
"New Caledonia"	1903	6872	6358	1645	6921	3544	2265	3804	4720	6259	150	5088	4775	2918	14699	241	3277	4107	274	5387	
"New Zealand"	274633	435848	374361	387457	534325	490027	471923	471294	452519	464116	442711	460551	372523	514365	466656	613348	521370	465078	416892	457901	
"Nicaragua"	329645	404057	367954	400127	403580	466893	482919	423360	390414	416941	423808	416683	406681	506280	469325	470441	511795	499818	648165	554406	
"Niger"	3873	10427	6643	3539	10646	5752	6734	15580	8278	9578	9060	8783	19018	7144	5180	5474	4612	2804	7010	1919	
"Nigeria"	156315	331454	290437	274013	425788	369602	346002	277211	287393	306370	294502	97721	387358	262864	394481	723248	679379	386675	653691	264675	
"Niue"	10	74	25	53	57	68	59	45	147	18	186	304	143	216	299	250	496	183	349	306	
"Norfolk Island"	0	0	0	46	0	0	0	3	0	0	1	0	0	0	245	14	1	0	6	1	
"Norway"	596482	652575	577877	624571	615518	674489	540383	598126	562449	542929	667707	489710	439719	561810	551219	685464	566054	681947	568712	620092	
"Oman"	127105	167592	152867	130598	127471	128149	145947	119403	168836	267547	244061	195091	246171	286051	250243	251911	259731	268390	304362	213071	
"Pakistan"	358125	462918	385560	494337	460285	507019	491422	458191	510548	607151	540638	539702	520032	602554	580198	692543	530698	600553	538024	523343	
"Palau"	32	69	28	52	42	30	35	46	77	126	44	114	41	43	26	57	50	42	18	70	
"Palestine, State of"	403	560	667	373	490	1238	289	1091	488	359	546	1981	831	1119	973	474	1179	246	811	1054	
"Panama"	69887	184331	102807	41983	63101	46454	45576	35416	72865	37581	47919	42171	43357	40900	40912	42261	58231	56214	46637	45682	
"Papua New Guinea"	7105	4432	3861	3540	9673	4289	5397	5089	8772	10192	9172	6277	5974	2703	2586	5927	2193	5676	2690	7210	
"Paraguay"	13151	11501	14656	31855	14942	17722	16722	14670	13489	19544	18384	36276	15060	17890	22490	32943	28225	17790	21339	16044	
"Peru"	550602	487442	381869	410083	486389	513490	646227	648202	889002	842230	849371	863035	804564	801768	574126	579888	675381	683505	857688	738484	
"Philippines"	893237	1232076	1123560	1188710	1197635	1161668	1341546	1329214	1346789	1367042	1367127	1286282	1144240	1502667	1482456	1398043	1558930	1483285	1561637	1426954	
"Pitcairn"	1	0	2	6	0	0	42	0	0	0	1	345	0	17	1	39	0	1	14	4	
"Poland"	670726	861517	783162	835865	876508	1126068	864725	817903	855264	936092	885063	897748	911770	997523	1073742	1097232	1112530	1104517	1008467	1108742	
"Portugal"	355654	421655	465692	425140	481616	428439	502032	484806	403580	436811	382318	446980	459236	477879	529939	862211	624051	545698	641876	522452	
"Qatar"	104829	160080	179059	114638	148920	167941	204744	195065	150196	210184	144102	413384	265289	170448	210354	320143	200599	286721	143463	228874	
"Romania"	205939	250415	253699	278349	282671	326448	234918	275250	226293	252753	278414	244456	205342	333263	310327	312590	383741	325255	392818	341321	
"Russian Federation"	1765519	2644500	2613971	2839147	2814426	3097047	2916043	2655675	2536242	2866348	1966688	2033529	2660389	2838450	2157850	1158458	704932	514816	553546	365197	
"Rwanda"	2657	2124	3240	1767	578	926	1933	3178	4143	2770	6089	5212	1541	6415	3143	1398	854	784	3496	8421	
"Saint Helena"	31	25	3475	2114	1872	1933	34	44	11948	323	10190	119	413	72	15030	939	1208	790	84	114	
"Saint Kitts and Nevis"	3241	5059	3135	2861	3879	1328	3769	3983	3466	3830	3293	2589	2870	3935	3819	3737	2687	2529	2169	2690	
"Saint Lucia"	631	1074	827	704	794	981	1014	1261	1163	1080	1129	938	807	1068	1055	1156	822	1012	826	808	
"Saint Pierre and Miquelon"	0	0	0	0	0	0	0	0	1	15	0	0	8	0	2	1	1	0	0	6	
"Saint Vincent and the Grenadines"	382	464	490	433	948	258	853	287	562	577	543	523	731	585	956	1433	266	757	1159	399	
"Samoa"	313	785	913	483	929	1118	850	1630	579	896	786	219	2251	1475	1043	215	1496	86	1211	1086	
"Sao Tome and Principe"	209	176	157	52	30	25	33	88	98	224	29	126	87	27	38	113	108	142	73	18	
"Saudi Arabia"	546371	889808	870173	1017500	1522775	1359542	1281378	1414805	1231040	1531802	1718800	1689820	1490969	1976802	1943584	2421135	3062071	2258475	1844399	1894013	
"Senegal"	7120	12680	11230	22428	9209	6312	7255	18045	12740	18632	19031	19958	15592	344328	18601	13972	7976	10992	15310	18589	
"Serbia"	43443	55018	52971	48660	61701	44495	44140	54833	67156	90689	70226	91558	73939	66283	78133	81446	79519	76367	72304	63178	
"Seychelles"	141	657	1219	1585	1281	801	569	615	1467	1175	1588	1103	515	596	2201	1794	1624	926	871	1423	
"Sierra Leone"	1452	731	2217	1258	1105	2723	696	896	2270	1983	792	666	2548	2080	1080	1582	1878	2148	1417	1256	
"Singapore"	1801403	2978779	2554455	2561510	2635135	2531578	2115303	3040691	2538272	2497683	2228401	2470506	1908268	3887156	2805591	2624602	2683478	2288827	2747121	2387904	
"Slovakia"	416759	605043	422578	529195	471844	569200	292066	292850	249275	321131	500794	425944	262022	683028	484371	502667	569104	435206	572622	730730	
"Slovenia"	104037	99421	107438	117284	142588	141951	151744	109532	227154	166406	155364	270821	202551	185396	226990	333366	251724	352285	190115	223421	
"Solomon Islands"	168	83	187	86	433	149	66	99	76	157	382	58	126	6867	58	94	76	142	107	207	
"Somalia"	61	46	164	298	55	166	228	39	43	13	11	80	5	9	79	5	749	2	21	22	
"South Africa"	993392	1383243	1542597	1666206	1355053	1496127	1167931	1122566	1365941	1526904	1465979	1060817	852274	1650728	1432580	1481798	1141413	1135367	1298461	1098219	
"Spain"	1333652	1569595	1587366	1725192	1787128	1636135	1895968	1634370	1586838	1607265	1826644	1480930	1662633	2170361	1907344	2429381	2408573	2264677	2259947	1806302	
"Sri Lanka"	224114	272037	238072	246304	202187	249102	271816	251619	271617	304435	289925	300352	285185	332689	304786	303484	305303	273370	359151	346294	
"Sudan"	902	7	1648	3	1	3414	10107	2054	28	849	14	1107	507	1043	228	4981	5595	7322	8914	4424	
"Suriname"	4518	5391	4496	3252	5360	5761	7544	9316	6861	8638	5970	7267	5043	10127	5728	8974	7752	4850	5782	4742	
"Sweden"	1090819	1432529	1370541	1372289	1710000	1202650	1054590	1252351	1137134	1272147	1473436	1312042	1161976	1790909	1418829	1624086	1541235	1543616	1300322	1167442	
"Switzerland"	4956140	6321364	4250211	4818395	6536888	4696510	5263241	4871523	4314875	7042149	5501191	3977260	5190793	10797087	5047570	4829627	4196789	3784350	4216628	4742580	
"Syrian Arab Republic"	793	627	1360	725	1425	634	430	929	509	1153	661	628	258	1378	652	778	741	921	621	1017	
"Taipei, Chinese"	4656451	5930471	6500073	6670822	6939398	7026692	7060071	7284338	8084155	7271863	7703151	7561297	6938284	8804244	7824535	8314968	7688877	8866435	8784957	7844340	
"Tajikistan"	181	180	174	5	12	4	120	17	22	23	81	572	29	64	7	19	188	112	10	62	
"Tanzania, United Republic of"	5645	6068	8138	7476	7279	8449	5668	6776	4476	7132	26886	10182	9724	14685	13512	27176	7805	6713	15195	17228	
"Thailand"	3249021	4223013	4027658	4627113	4352859	4123046	4452104	4498656	4315794	4494479	4585809	4480832	4565284	5836872	5213491	5811281	5287683	5004560	5926746	5494001	
"Timor-Leste"	203	157	557	278	178	100	317	1120	813	1224	761	1417	4850	452	228	532	722	480	144	764	
"Togo"	1029	1196	1747	3021	1353	1702	2517	858	3753	564	417	541	1463	3930	4403	6897	14116	9210	7718	6618	
"Tokelau"	17	27	15	10	15	20	151	11	15	12	22	16	20	17	16	17	35	14	20	18	
"Tonga"	227	421	378	271	421	254	369	422	304	321	275	149	172	291	384	211	423	406	365	315	
