Exporters	Imported value in 2021-M02	Imported value in 2021-M03	Imported value in 2021-M04	Imported value in 2021-M05	Imported value in 2021-M06	Imported value in 2021-M07	Imported value in 2021-M08	Imported value in 2021-M09	Imported value in 2021-M10	Imported value in 2021-M11	Imported value in 2021-M12	Imported value in 2022-M01	Imported value in 2022-M02	Imported value in 2022-M03	Imported value in 2022-M04	Imported value in 2022-M05	Imported value in 2022-M06	Imported value in 2022-M07	Imported value in 2022-M08	Imported value in 2022-M09	
"World"	200213038	245127744	234746485	238811880	251320808	246591971	255372699	254061163	261190001	269715810	268436820	258783689	244284728	308516822	284400389	297239100	297837529	282572694	295627428	286391334	
"Afghanistan"	1397	2278	2955	3272	1877	2004	1465	689	1830	1546	1476	2880	1369	1764	2380	1352	1871	1694	1449	4416	
"Albania"	4082	7145	5835	6578	5123	9742	5287	4228	5988	5609	6767	6033	9596	7736	27464	8214	6407	9306	8060	9611	
"Algeria"	110789	212565	211566	123816	124955	193046	146573	109406	242299	204895	186175	138384	145325	209503	208740	435343	325650	460072	249346	161127	
"Andorra"	910	255	122	1809	203	656	437	775	271	1184	568	223	231	561	512	781	3147	892	777	911	
"Angola"	79417	91235	105858	161674	32176	97848	140258	106452	69875	140908	7741	138469	238296	119676	70506	94340	199587	120437	166755	157223	
"Anguilla"	24	108	60	47	42	87	31	87	86	31	48	53	28	4019	69	339	674	181	163	184	
"Antigua and Barbuda"	426	1631	1190	174	775	570	262	308	991	1644	21603	1707	472	708	463	968	908	457	309	1049	
"Argentina"	291269	355169	421416	410703	407974	587966	408335	610062	482538	570576	574668	498025	481752	726314	748948	585143	598911	683990	543455	499634	
"Armenia"	7284	8425	10054	9015	8303	6752	6591	6288	7535	6181	8322	4222	5092	5862	7119	12659	7099	10767	7048	5917	
"Aruba"	760	710	1868	820	2109	1214	1283	640	1267	2005	707	466	1341	1130	506	837	670	1124	1469	833	
"Australia"	1048933	901461	1024112	920769	1055129	1047284	1242878	1027135	1239325	1119343	1192930	1161391	1074026	1523535	1343508	1496318	1479151	1319291	1339599	1430239	
"Austria"	1039786	1274919	1308234	1245341	1192205	1226815	1345412	1284754	1479242	1434231	1745544	1304449	1400066	1602510	1372936	1560543	1642927	1463559	1591648	1626497	
"Azerbaijan"	4764	5774	4173	8203	5574	14964	14121	5303	13977	19513	7244	4607	4060	17715	7039	42829	19673	50333	4048	25656	
"Bahamas"	17403	26206	33394	21018	22047	35816	34036	53629	56697	31055	113130	54976	34407	125624	155751	132014	180889	53994	296147	150892	
"Bahrain"	58619	101523	87020	119240	35673	44963	113081	142523	179305	179821	117290	253285	86172	161662	153907	165300	276967	245361	112013	175868	
"Bangladesh"	595492	651508	587170	737800	666481	698397	756154	811933	858066	833954	969225	927163	838871	1248865	1002897	999407	1101322	842705	1127848	1103109	
"Barbados"	2652	7018	4287	3263	3716	3987	4131	3773	2963	4961	2878	2845	3228	5275	5584	4227	4643	4884	4207	4907	
"Belarus"	26023	52504	42940	18814	17203	53217	37882	51425	66097	100447	12735	17572	116444	27728	15064	7181	6920	10354	2825	3874	
